Obtaining average intraday spreads for all nodes: 
Sorting dictionary
Number of nodes:  2404
Top 5
('02NGL-115', 1142.8332136602453) 1142
('02NSN-115', 1142.8277057793346) 1142
('02FNQ-115', 1142.8074430823117) 1142
('02CBM-115', 1142.7856479859895) 1142
('01AMO-85', 1142.7472241681262) 1142
('02TJA-115', 1142.6575131348511) 1142
('02CPL-115', 1142.6294133099825) 1142
('02VED-115', 1142.5948686514885) 1142
('02CIV-115', 1142.5810770577932) 1142
('05NID-115', 1142.57323117338) 1142
('02MAS-115', 1142.558931698774) 1142
('02ORT-115', 1142.514772329247) 1142
('02RMN-115', 1142.4917775831873) 1142
('02MFB-115', 1142.2746409807355) 1142
('02ADD-115', 1142.241506129597) 1142
('02CRX-115', 1142.224176882662) 1142
('02HTU-115', 1142.2031436077057) 1142
('02NND-115', 1142.1285901926447) 1142
('05ELP-115', 1141.9827845884413) 1142
('01CHA-85', 1141.970017513135) 1142
('02BOE-115', 1141.878380035026) 1142
('02CHD-115', 1141.810350262697) 1142
('02NMO-115', 1141.792408056042) 1142
('02RBO-115', 1141.7374343257443) 1142
('02TXN-115', 1141.701891418564) 1142
('02PDM-115', 1141.482364273205) 1142
('02TGU-115', 1141.4479684763573) 1142
('02PPL-115', 1141.3342556917687) 1142
('05ABG-115', 1141.3262609457092) 1142
('02MAA-115', 1141.218992994746) 1142
('02PNA-115', 1141.1586164623468) 1142
